DistrictName,SchoolName,EnrollmentNumber,Year
Mount Union Area SD,Mount Union Area JHS,299,2021-2022
Mount Union Area SD,Mount Union Area SHS,372,2021-2022
Mount Union Area SD,Mount Union-Kistler El Sch,299,2021-2022
Mount Union Area SD,Shirley Twp El Sch,238,2021-2022
Mountain View SD,Mountain View El Sch,480,2021-2022
Mountain View SD,Mountain View JSHS,415,2021-2022
Mt Lebanon SD,Foster El Sch,265,2021-2022
Mt Lebanon SD,Hoover El Sch,280,2021-2022
Mt Lebanon SD,Howe El Sch,358,2021-2022
Mt Lebanon SD,Jefferson El Sch,300,2021-2022
Mt Lebanon SD,Jefferson MS,603,2021-2022
Mt Lebanon SD,Lincoln El Sch,425,2021-2022
Mt Lebanon SD,Markham El Sch,299,2021-2022
Mt Lebanon SD,Mellon MS,641,2021-2022
Mt Lebanon SD,Mt Lebanon SHS,1820,2021-2022
Mt Lebanon SD,Washington El Sch,409,2021-2022
Muhlenberg SD,C E Cole Intermediate Sch,897,2021-2022
Muhlenberg SD,Muhlenberg El Ctr,1092,2021-2022
Muhlenberg SD,Muhlenberg HS,1063,2021-2022
Muhlenberg SD,Muhlenberg MS,1062,2021-2022
Muncy SD,Muncy JSHS,502,2021-2022
Muncy SD,Ward L Myers El Sch,455,2021-2022
Nazareth Area SD,Kenneth N Butz Jr El Sch,563,2021-2022
Nazareth Area SD,Lower Nazareth El Sch,613,2021-2022
Nazareth Area SD,Nazareth Area HS,1576,2021-2022
Nazareth Area SD,Nazareth Area Intermediate Sch,699,2021-2022
Nazareth Area SD,Nazareth Area MS,798,2021-2022
Nazareth Area SD,Shafer El Sch,572,2021-2022
Neshaminy SD,Buck El Sch,592,2021-2022
Neshaminy SD,Hoover El Sch,654,2021-2022
Neshaminy SD,Joseph E Ferderbar El Sch,461,2021-2022
Neshaminy SD,Maple Point MS,1284,2021-2022
Neshaminy SD,Miller El Sch,492,2021-2022
Neshaminy SD,Neshaminy HS,2851,2021-2022
Neshaminy SD,Poquessing MS,960,2021-2022
Neshaminy SD,Sandburg MS,702,2021-2022
Neshaminy SD,Schweitzer El Sch,438,2021-2022
Neshaminy SD,Tawanka El Sch,822,2021-2022
Neshannock Township SD,Neshannock JSHS,536,2021-2022
Neshannock Township SD,Neshannock Memorial El Sch,649,2021-2022
New Brighton Area SD,New Brighton Area El Sch,612,2021-2022
New Brighton Area SD,New Brighton Area HS,388,2021-2022
New Brighton Area SD,New Brighton Area MS,308,2021-2022
New Castle Area SD,Harry W Lockley Early Learning Center,748,2021-2022
New Castle Area SD,New Castle JHS,722,2021-2022
New Castle Area SD,New Castle SHS,802,2021-2022
New Castle Area SD,Washington Intrmd Sch,718,2021-2022
New Hope-Solebury SD,New Hope-Solebury HS,468,2021-2022
New Hope-Solebury SD,New Hope-Solebury Lower El Sch,244,2021-2022
New Hope-Solebury SD,New Hope-Solebury MS,343,2021-2022
New Hope-Solebury SD,New Hope-Solebury Upper El Sch,253,2021-2022
New Kensington-Arnold SD,Berkey Sch,302,2021-2022
New Kensington-Arnold SD,Martin Sch,201,2021-2022
New Kensington-Arnold SD,Roy A. Hunt El Sch,606,2021-2022
New Kensington-Arnold SD,Valley JSHS,890,2021-2022
Newport SD,Newport El Sch,457,2021-2022
Newport SD,Newport HS,303,2021-2022
Newport SD,Newport MS,218,2021-2022
Norristown Area SD,Cole Manor El Sch,383,2021-2022
Norristown Area SD,East Norriton MS,911,2021-2022
Norristown Area SD,Eisenhower MS,791,2021-2022
Norristown Area SD,Gotwals El Sch,355,2021-2022
Norristown Area SD,Hancock El Sch,332,2021-2022
Norristown Area SD,Marshall Street El Sch,610,2021-2022
Norristown Area SD,Norristown Area HS,2230,2021-2022
Norristown Area SD,Paul V Fly El Sch,452,2021-2022
Norristown Area SD,Ray S. Musselman Learning Center,293,2021-2022
Norristown Area SD,Roosevelt Campus of the Norristown Area,144,2021-2022
Norristown Area SD,Stewart MS,798,2021-2022
Norristown Area SD,Whitehall El Sch,478,2021-2022
North Allegheny SD,Bradford Woods El Sch,369,2021-2022
North Allegheny SD,Carson MS,659,2021-2022
North Allegheny SD,Franklin El Sch,744,2021-2022
North Allegheny SD,Hosack El Sch,351,2021-2022
North Allegheny SD,Ingomar El Sch,346,2021-2022
North Allegheny SD,Ingomar MS,547,2021-2022
North Allegheny SD,Marshall El Sch,756,2021-2022
North Allegheny SD,Marshall MS,800,2021-2022
North Allegheny SD,McKnight El Sch,765,2021-2022
North Allegheny SD,North Allegheny HS,2698,2021-2022
North Allegheny SD,Peebles El Sch,401,2021-2022
North Clarion County SD,North Clarion Co El Sch,284,2021-2022
North Clarion County SD,North Clarion Co JSHS,303,2021-2022
North East SD,Earle C Davis Primary,290,2021-2022
North East SD,North East HS,500,2021-2022
North East SD,North East Intrmd El,322,2021-2022
North East SD,North East MS,402,2021-2022
North Hills SD,Highcliff El Sch,541,2021-2022
North Hills SD,McIntyre El Sch,620,2021-2022
North Hills SD,North Hills MS,1073,2021-2022
North Hills SD,North Hills SHS,1371,2021-2022
North Hills SD,Ross El Sch,510,2021-2022
North Hills SD,West View El Sch,439,2021-2022
North Penn SD,Bridle Path El Sch,497,2021-2022
North Penn SD,General Nash El Sch,468,2021-2022
North Penn SD,Gwynedd Square El Sch,599,2021-2022
North Penn SD,Gwyn-Nor El Sch,586,2021-2022
North Penn SD,Hatfield El Sch,487,2021-2022
North Penn SD,Inglewood El Sch,423,2021-2022
North Penn SD,Knapp El Sch,562,2021-2022
North Penn SD,Kulp El Sch,574,2021-2022
North Penn SD,Montgomery El Sch,660,2021-2022
North Penn SD,North Penn SHS,3138,2021-2022
North Penn SD,North Wales El Sch,443,2021-2022
North Penn SD,Oak Park El Sch,493,2021-2022
North Penn SD,Pennbrook MS,832,2021-2022
North Penn SD,Penndale MS,1202,2021-2022
North Penn SD,Pennfield MS,927,2021-2022
North Penn SD,Walton Farm El Sch,554,2021-2022
North Penn SD,York Avenue El Sch,280,2021-2022
North Pocono SD,Jefferson El Sch,251,2021-2022
North Pocono SD,Moscow El Sch,549,2021-2022
North Pocono SD,North Pocono HS,926,2021-2022
North Pocono SD,North Pocono Intmd Sch,444,2021-2022
North Pocono SD,North Pocono MS,690,2021-2022
North Schuylkill SD,North Schuylkill Elem Sch,1049,2021-2022
North Schuylkill SD,North Schuylkill JSHS,981,2021-2022
North Star SD,North Star Central El Sch,361,2021-2022
North Star SD,North Star East MS,308,2021-2022
North Star SD,North Star HS,331,2021-2022
Northampton Area SD,Colonel John Siegfried El Sch,830,2021-2022
Northampton Area SD,George Wolf El Sch,455,2021-2022
Northampton Area SD,Lehigh El Sch,490,2021-2022
Northampton Area SD,Moore El Sch,385,2021-2022
Northampton Area SD,Northampton Area HS,1877,2021-2022
Northampton Area SD,Northampton Area MS,1309,2021-2022
Northeast Bradford SD,Northeast Bradford El Sch,326,2021-2022
Northeast Bradford SD,Northeast Bradford JSHS,354,2021-2022
Northeastern York SD,Conewago El Sch,283,2021-2022
Northeastern York SD,Mt Wolf El Sch,242,2021-2022
Northeastern York SD,Northeastern MS,639,2021-2022
Northeastern York SD,Northeastern SHS,1175,2021-2022
Northeastern York SD,Orendorf El Sch,355,2021-2022
Northeastern York SD,Shallow Brook Inter Sch,433,2021-2022
Northeastern York SD,Spring Forge Intrd Sch,438,2021-2022
Northeastern York SD,York Haven El Sch,285,2021-2022
Northern Bedford County SD,Northern Bedford Co El Sch,431,2021-2022
Northern Bedford County SD,Northern Bedford County HS,263,2021-2022
Northern Bedford County SD,Northern Bedford County MS,172,2021-2022
Northern Cambria SD,Northern Cambria El Sch,248,2021-2022
Northern Cambria SD,Northern Cambria HS,341,2021-2022
Northern Cambria SD,Northern Cambria MS,262,2021-2022
Northern Lebanon SD,East Hanover El Sch,138,2021-2022
Northern Lebanon SD,Fredericksburg El Sch,215,2021-2022
Northern Lebanon SD,Jonestown El Sch,468,2021-2022
Northern Lebanon SD,Lickdale El Sch,146,2021-2022
Northern Lebanon SD,Northern Lebanon MS,534,2021-2022
Northern Lebanon SD,Northern Lebanon SHS,693,2021-2022
Northern Lehigh SD,Northern Lehigh MS,242,2021-2022
Northern Lehigh SD,Northern Lehigh SHS,470,2021-2022
Northern Lehigh SD,Peters El Sch,330,2021-2022
Northern Lehigh SD,Slatington El Sch,480,2021-2022
Northern Potter SD,Northern Potter Childrens Sch,292,2021-2022
Northern Potter SD,Northern Potter JSHS,211,2021-2022
Northern Tioga SD,Clark Wood El Sch,296,2021-2022
Northern Tioga SD,Cowanesque Valley JSHS,331,2021-2022
Northern Tioga SD,Russell B Walter El Sch,498,2021-2022
Northern Tioga SD,Westfield Area El Sch,318,2021-2022
Northern Tioga SD,Williamson SHS,557,2021-2022
Northern York County SD,Dillsburg El Sch,459,2021-2022
Northern York County SD,Northern El Sch,370,2021-2022
Northern York County SD,Northern HS,1063,2021-2022
Northern York County SD,Northern MS,761,2021-2022
Northern York County SD,South Mountain El Sch,427,2021-2022
Northern York County SD,Wellsville Campus,232,2021-2022
Northgate SD,Avalon El Sch,239,2021-2022
Northgate SD,Bellevue El Sch,332,2021-2022
Northgate SD,Northgate MSHS,471,2021-2022
Northwest Area SD,Northwest Area HS,443,2021-2022
Northwest Area SD,Northwest Area Intermediate Sch,274,2021-2022
Northwest Area SD,Northwest Area Primary Sch,210,2021-2022
Northwestern Lehigh SD,Northwestern Lehigh El Sch,399,2021-2022
Northwestern Lehigh SD,Northwestern Lehigh HS,714,2021-2022
Northwestern Lehigh SD,Northwestern Lehigh MS,481,2021-2022
Northwestern Lehigh SD,Weisenberg El Sch,384,2021-2022
Northwestern SD,Northwestern El Sch,346,2021-2022
Northwestern SD,Northwestern MS,304,2021-2022
Northwestern SD,Northwestern SHS,422,2021-2022
Northwestern SD,Springfield El Sch,200,2021-2022
Norwin SD,Hahntown El Sch,456,2021-2022
Norwin SD,Hillcrest Intermediate Sch,791,2021-2022
Norwin SD,Norwin MS,847,2021-2022
Norwin SD,Norwin SHS,1624,2021-2022
Norwin SD,Sheridan Terrace El Sch,437,2021-2022
Norwin SD,Stewartsville El Sch,461,2021-2022
Norwin SD,Sunset Valley El Sch,439,2021-2022
Octorara Area SD,Octorara Area JSHS,1096,2021-2022
Octorara Area SD,Octorara El Sch,296,2021-2022
Octorara Area SD,Octorara Intermediate Sch,291,2021-2022
Octorara Area SD,Octorara Primary LC,427,2021-2022
Oil City Area SD,Hasson Heights Sch,365,2021-2022
Oil City Area SD,Oil City Area MS,582,2021-2022
Oil City Area SD,Oil City SHS,600,2021-2022
Oil City Area SD,Seventh Street Sch,173,2021-2022
Oil City Area SD,Smedley Street Sch,104,2021-2022
Old Forge SD,Old Forge El Sch,497,2021-2022
Old Forge SD,Old Forge JSHS,441,2021-2022
Oley Valley SD,Oley Valley El Sch,610,2021-2022
Oley Valley SD,Oley Valley MS,366,2021-2022
Oley Valley SD,Oley Valley SHS,482,2021-2022
Oswayo Valley SD,Oswayo Valley El Sch,195,2021-2022
Oswayo Valley SD,Oswayo Valley HS,108,2021-2022
Oswayo Valley SD,Oswayo Valley MS,93,2021-2022
Otto-Eldred SD,Otto-Eldred El Sch,261,2021-2022
Otto-Eldred SD,Otto-Eldred JSHS,288,2021-2022
Owen J Roberts SD,East Coventry El Sch,509,2021-2022
Owen J Roberts SD,East Vincent El Sch,513,2021-2022
Owen J Roberts SD,French Creek El Sch,572,2021-2022
Owen J Roberts SD,North Coventry El Sch,542,2021-2022
Owen J Roberts SD,Owen J Roberts HS,1787,2021-2022
Owen J Roberts SD,Owen J Roberts MS,916,2021-2022
Owen J Roberts SD,West Vincent El Sch,617,2021-2022
Oxford Area SD,Elk Ridge School,412,2021-2022
Oxford Area SD,Hopewell El Sch,480,2021-2022
Oxford Area SD,Jordan Bank Sch,221,2021-2022
Oxford Area SD,Nottingham Sch,482,2021-2022
Oxford Area SD,Oxford Area HS,1244,2021-2022
Oxford Area SD,Penn's Grove Sch,549,2021-2022
Palisades SD,Durham-Nockamixon El Sch,220,2021-2022
Palisades SD,Palisades HS,458,2021-2022
Palisades SD,Palisades MS,333,2021-2022
Palisades SD,Springfield El Sch,220,2021-2022
Palisades SD,Tinicum El Sch,130,2021-2022
Palmerton Area SD,Palmerton Area HS,490,2021-2022
Palmerton Area SD,Palmerton Area JHS,307,2021-2022
Palmerton Area SD,Parkside Education Center,152,2021-2022
Palmerton Area SD,S S Palmer El Sch,412,2021-2022
Palmerton Area SD,Towamensing El Sch,307,2021-2022
Palmyra Area SD,Forge Road El Sch,331,2021-2022
Palmyra Area SD,Lingle Avenue El Sch,571,2021-2022
Palmyra Area SD,Northside El Sch,235,2021-2022
Palmyra Area SD,Palmyra Area MS,830,2021-2022
Palmyra Area SD,Palmyra Area SHS,1192,2021-2022
Palmyra Area SD,Pine Street El Sch,356,2021-2022
Panther Valley SD,Panther Valley El Sch,619,2021-2022
Panther Valley SD,Panther Valley Intermediate Sch,406,2021-2022
Panther Valley SD,Panther Valley JSHS,755,2021-2022
Parkland SD,Cetronia Sch,487,2021-2022
Parkland SD,Fogelsville Sch,498,2021-2022
Parkland SD,Fred J. Jaindl El Sch,446,2021-2022
Parkland SD,Ironton Sch,389,2021-2022
Parkland SD,Kernsville Sch,406,2021-2022
Parkland SD,Kratzer Sch,480,2021-2022
Parkland SD,Orefield MS,939,2021-2022
Parkland SD,Parkland HS,3178,2021-2022
Parkland SD,Parkway Manor Sch,548,2021-2022
Parkland SD,Schnecksville Sch,471,2021-2022
Parkland SD,Springhouse MS,1334,2021-2022
Parkland SD,Veterans Memorial El Sch,513,2021-2022
Pen Argyl Area SD,Pen Argyl Area HS,521,2021-2022
Pen Argyl Area SD,Plainfield El Sch,397,2021-2022
Pen Argyl Area SD,Wind Gap MS,543,2021-2022
Penn Cambria SD,Penn Cambria HS,557,2021-2022
Penn Cambria SD,Penn Cambria Intrmd Sch,219,2021-2022
Penn Cambria SD,Penn Cambria MS,482,2021-2022
Penn Cambria SD,Penn Cambria Pre-Primary,117,2021-2022
Penn Cambria SD,Penn Cambria Primary Sch,189,2021-2022
Penn Hills SD,Linton MS,680,2021-2022
Penn Hills SD,Penn Hills El Sch,1312,2021-2022
Penn Hills SD,Penn Hills SHS,1077,2021-2022
Penn Manor SD,Central Manor El Sch,598,2021-2022
Penn Manor SD,Conestoga El Sch,316,2021-2022
Penn Manor SD,Eshleman El Sch,348,2021-2022
Penn Manor SD,Hambright El Sch,598,2021-2022
Penn Manor SD,Letort El Sch,326,2021-2022
Penn Manor SD,Manor Middle School,496,2021-2022
Penn Manor SD,Martic El Sch,303,2021-2022
Penn Manor SD,Marticville MS,377,2021-2022
Penn Manor SD,Penn Manor HS,1751,2021-2022
Penn Manor SD,Pequea El Sch,355,2021-2022
Penncrest SD,Cambridge Springs El Sch,406,2021-2022
Penncrest SD,Cambridge Springs JSHS,378,2021-2022
Penncrest SD,Maplewood El Sch,450,2021-2022
Penncrest SD,Maplewood JSHS,466,2021-2022
Penncrest SD,Saegertown El Sch,422,2021-2022
Penncrest SD,Saegertown JSHS,469,2021-2022
Penn-Delco SD,Aston El Sch,454,2021-2022
Penn-Delco SD,Coebourn El Sch,340,2021-2022
Penn-Delco SD,Northley MS,771,2021-2022
Penn-Delco SD,Parkside El Sch,256,2021-2022
Penn-Delco SD,Pennell El Sch,379,2021-2022
Penn-Delco SD,Sun Valley HS,1082,2021-2022
Pennridge SD,Bedminster El Sch,418,2021-2022
Pennridge SD,Deibler El Sch,344,2021-2022
Pennridge SD,Grasse El Sch,394,2021-2022
Pennridge SD,Patricia A Guth El Sch,453,2021-2022
Pennridge SD,Pennridge Central MS,573,2021-2022
Pennridge SD,Pennridge HS,2342,2021-2022
Pennridge SD,Pennridge North MS,630,2021-2022
Pennridge SD,Pennridge South MS,430,2021-2022
Pennridge SD,Sellersville El Sch,306,2021-2022
Pennridge SD,Seylar El Sch,402,2021-2022
Pennridge SD,West Rockhill El Sch,350,2021-2022
Penns Manor Area SD,Penns Manor Area El Sch,336,2021-2022
Penns Manor Area SD,Penns Manor Area JSHS,414,2021-2022
Penns Valley Area SD,Centre Hall-Potter El Sch,215,2021-2022
Penns Valley Area SD,Miles Township El Sch,101,2021-2022
Penns Valley Area SD,Penns Valley Area El and Intrmd Sch,378,2021-2022
Penns Valley Area SD,Penns Valley Area JSHS,688,2021-2022
Pennsbury SD,Afton El Sch,542,2021-2022
Pennsbury SD,Charles H Boehm MS,715,2021-2022
Pennsbury SD,Edgewood El Sch,516,2021-2022
Pennsbury SD,Eleanor Roosevelt El Sch,555,2021-2022
Pennsbury SD,Fallsington El Sch,268,2021-2022
Pennsbury SD,Makefield El Sch,373,2021-2022
Pennsbury SD,Manor El Sch,445,2021-2022
Pennsbury SD,Oxford Valley El Sch,382,2021-2022
Pennsbury SD,Penn Valley El Sch,411,2021-2022
Pennsbury SD,Pennsbury HS,2910,2021-2022
Pennsbury SD,Pennwood MS,757,2021-2022
Pennsbury SD,Quarry Hill El Sch,472,2021-2022
Pennsbury SD,Village Park Academy,--,2021-2022
Pennsbury SD,Walt Disney El Sch,384,2021-2022
Pennsbury SD,William Penn MS,928,2021-2022
Penn-Trafford SD,Harrison Park El Sch,420,2021-2022
Penn-Trafford SD,Level Green El Sch,246,2021-2022
Penn-Trafford SD,McCullough El Sch,450,2021-2022
Penn-Trafford SD,Penn MS,518,2021-2022
Penn-Trafford SD,Penn Trafford HS,1271,2021-2022
Penn-Trafford SD,Sunrise El Sch,412,2021-2022
Penn-Trafford SD,Trafford El Sch,198,2021-2022
Penn-Trafford SD,Trafford MS,325,2021-2022
Pequea Valley SD,Paradise El Sch,449,2021-2022
Pequea Valley SD,Pequea Valley HS,453,2021-2022
Pequea Valley SD,Pequea Valley Intrmd Sch,227,2021-2022
Pequea Valley SD,Salisbury El Sch,283,2021-2022
Perkiomen Valley SD,Evergreen El Sch,500,2021-2022
Perkiomen Valley SD,Perkiomen Valley HS,1768,2021-2022
Perkiomen Valley SD,Perkiomen Valley MS-East,712,2021-2022
Perkiomen Valley SD,Perkiomen Valley MS-West,570,2021-2022
Perkiomen Valley SD,Schwenksville El Sch,473,2021-2022
Perkiomen Valley SD,Skippack El Sch,607,2021-2022
Perkiomen Valley SD,South El Sch,472,2021-2022
Peters Township SD,Bower Hill El Sch,677,2021-2022
Peters Township SD,McMurray El Sch,581,2021-2022
Peters Township SD,Peters Twp HS,1295,2021-2022
Peters Township SD,Peters Twp MS,905,2021-2022
Peters Township SD,Pleasant Valley El Sch,479,2021-2022
Philadelphia City SD,Academy at Palumbo,1118,2021-2022
Philadelphia City SD,Adaire Alexander Sch,417,2021-2022
Philadelphia City SD,Allen Dr Ethel Sch,392,2021-2022
Philadelphia City SD,Allen Ethan Sch,832,2021-2022
Philadelphia City SD,Amy At Martin,337,2021-2022
Philadelphia City SD,Amy NW,238,2021-2022
Philadelphia City SD,Anderson Add B Sch,417,2021-2022
Philadelphia City SD,Arthur Chester A Sch,276,2021-2022
Philadelphia City SD,Arts Academy at Benjamin Rush,635,2021-2022
Philadelphia City SD,Bache-Martin Sch,475,2021-2022
Philadelphia City SD,Baldi C C A MS,1462,2021-2022
Philadelphia City SD,Barry Comm John Sch,486,2021-2022
Philadelphia City SD,Barton Clara Sch,503,2021-2022
Philadelphia City SD,Bartram John - Main,489,2021-2022
Philadelphia City SD,Bethune Mary McLeod Sch,489,2021-2022
Philadelphia City SD,Blaine James G Sch,371,2021-2022
Philadelphia City SD,Blankenburg Rudolph Sch,331,2021-2022
Philadelphia City SD,Bodine William W HS,606,2021-2022
Philadelphia City SD,Bregy F Amedee Sch,256,2021-2022
Philadelphia City SD,Bridesburg Sch,670,2021-2022
Philadelphia City SD,Brown Henry A Sch,325,2021-2022
Philadelphia City SD,Brown Joseph H Sch,346,2021-2022
Philadelphia City SD,Bryant William C Sch,375,2021-2022
Philadelphia City SD,Building 21,399,2021-2022
Philadelphia City SD,Carnell Laura H Sch,687,2021-2022
Philadelphia City SD,Carver HS,878,2021-2022
Philadelphia City SD,Catharine Joseph Sch,420,2021-2022
Philadelphia City SD,Cayuga School,359,2021-2022
Philadelphia City SD,Central HS,2381,2021-2022
Philadelphia City SD,Childs George W Sch,445,2021-2022
Philadelphia City SD,Clemente Roberto MS,259,2021-2022
Philadelphia City SD,Comegys Benjamin B Sch,376,2021-2022
Philadelphia City SD,Comly Watson Sch,488,2021-2022
Philadelphia City SD,Constitution HS,394,2021-2022
Philadelphia City SD,Conwell Russell MS,231,2021-2022
Philadelphia City SD,Cooke Jay MS,384,2021-2022
Philadelphia City SD,Cook-Wissahickon Sch,444,2021-2022
Philadelphia City SD,Cramp William Sch,371,2021-2022
Philadelphia City SD,Creative and Performing Arts,754,2021-2022
Philadelphia City SD,Crossan Kennedy C Sch,300,2021-2022
Philadelphia City SD,Day Anna B Sch,349,2021-2022
Philadelphia City SD,DeBurgos Bilingual Magnet MS,712,2021-2022
Philadelphia City SD,Decatur Stephen Sch,903,2021-2022
Philadelphia City SD,Dick William Sch,389,2021-2022
Philadelphia City SD,Disston Hamilton Sch,713,2021-2022
Philadelphia City SD,Dobbins AVT HS,1050,2021-2022
Philadelphia City SD,Dobson James Sch,225,2021-2022
Philadelphia City SD,Duckrey Tanner Sch,484,2021-2022
Philadelphia City SD,Dunbar Paul L Sch,243,2021-2022
Philadelphia City SD,Edison HS/Fareira Skills,1020,2021-2022
Philadelphia City SD,Elkin Lewis Sch,576,2021-2022
Philadelphia City SD,Ellwood Sch,255,2021-2022
Philadelphia City SD,Emlen Eleanor C Sch,293,2021-2022
Philadelphia City SD,Fanny Jackson Coppin Sch,527,2021-2022
Philadelphia City SD,Farrell Louis H Sch,1046,2021-2022
Philadelphia City SD,Fell D Newlin Sch,538,2021-2022
Philadelphia City SD,Fels Samuel HS,945,2021-2022
